,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
386,2022,Entry,Full Time,Machine Learning Engineer,28500,GBP,37300,GB,Fully Remote,GB,L
202,2021,Mid,Full Time,Data Scientist,32000,EUR,37825,ES,Fully Remote,ES,L
132,2021,Mid,Full Time,Applied Machine Learning Scientist,38400,USD,38400,VN,Fully Remote,US,M
56,2020,Mid,Full Time,Data Scientist,34000,EUR,38776,ES,Fully Remote,ES,M
312,2022,Mid,Full Time,Data Scientist,30000,GBP,39263,GB,On-site,GB,M
429,2022,Mid,Full Time,Data Analyst,30000,GBP,39263,GB,Fully Remote,GB,M
12,2020,Entry,Full Time,Data Scientist,35000,EUR,39916,FR,On-site,FR,M
502,2022,Entry,Full Time,Data Scientist,40000,USD,40000,JP,Fully Remote,MY,L
177,2021,Mid,Full Time,Data Scientist,30400000,CLP,40038,CL,Fully Remote,CL,L
117,2021,Mid,Full Time,Data Science Engineer,34000,EUR,40189,GR,Fully Remote,GR,M
11,2020,Mid,Full Time,Data Scientist,3000000,INR,40481,IN,On-site,IN,L
129,2021,Senior,Full Time,Lead Data Scientist,3000000,INR,40570,IN,Partially Remote,IN,L
16,2020,Entry,Full Time,Data Engineer,4450000,JPY,41689,JP,Fully Remote,JP,S
26,2020,Entry,Full Time,Research Scientist,42000,USD,42000,NL,Partially Remote,NL,L
71,2020,Mid,Full Time,Data Scientist,37000,EUR,42197,FR,Partially Remote,FR,S
20,2020,Mid,Full Time,Machine Learning Engineer,299000,CNY,43331,CN,On-site,CN,M
440,2022,Mid,Full Time,Data Analyst,40000,EUR,43966,GR,Fully Remote,GR,M
430,2022,Mid,Full Time,Data Analyst,40000,EUR,43966,ES,Fully Remote,ES,M
114,2021,Mid,Full Time,Data Engineer,38400,EUR,45391,NL,Fully Remote,NL,L
64,2020,Senior,Full Time,Machine Learning Engineer,40000,EUR,45618,HR,Fully Remote,HR,S
40,2020,Mid,Full Time,Data Scientist,45760,USD,45760,PH,Fully Remote,US,S
316,2022,Entry,Full Time,Data Engineer,35000,GBP,45807,GB,Fully Remote,GB,M
411,2022,Mid,Full Time,Data Scientist,35000,GBP,45807,GB,On-site,GB,M
586,2022,Mid,Full Time,Data Analyst,35000,GBP,45807,GB,On-site,GB,M
52,2020,Entry,Full Time,AI Scientist,300000,DKK,45896,DK,Partially Remote,DK,S
220,2021,Mid,Full Time,Machine Learning Engineer,180000,PLN,46597,PL,Fully Remote,PL,L
34,2020,Mid,Full Time,Data Analyst,41000,EUR,46759,FR,Partially Remote,FR,L
237,2021,Mid,Full Time,Data Scientist,39600,EUR,46809,ES,Fully Remote,ES,M
83,2021,Mid,Full Time,Machine Learning Engineer,40000,EUR,47282,ES,Fully Remote,ES,S
22,2020,Senior,Full Time,Data Engineer,42000,EUR,47899,GR,Partially Remote,GR,L
515,2022,Mid,Full Time,Data Scientist,48000,USD,48000,RU,Fully Remote,US,S
66,2020,Entry,Full Time,Data Scientist,43200,EUR,49268,DE,On-site,DE,S
427,2022,Mid,Full Time,Data Engineer,45000,EUR,49461,ES,Fully Remote,ES,M
413,2022,Mid,Full Time,Data Engineer,45000,EUR,49461,GR,Fully Remote,GR,M
131,2021,Entry,Full Time,Data Scientist,42000,EUR,49646,FR,Partially Remote,FR,M
203,2021,Senior,Full Time,Research Scientist,50000,USD,50000,FR,Fully Remote,US,S
116,2021,Mid,Full Time,Data Scientist,50000,USD,50000,NG,Fully Remote,NG,L
122,2021,Entry,Full Time,Data Analyst,50000,USD,50000,US,Fully Remote,US,M
186,2021,Senior,Full Time,Data Analytics Engineer,50000,USD,50000,VN,Fully Remote,GB,M
471,2022,Mid,Full Time,Data Analyst,50000,USD,50000,US,Fully Remote,US,M
42,2020,Mid,Full Time,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,On-site,PT,M
288,2021,Mid,Full Time,Machine Learning Engineer,43200,EUR,51064,IT,Partially Remote,IT,L
10,2020,Entry,Full Time,Data Scientist,45000,EUR,51321,FR,On-site,FR,S
105,2021,Mid,Full Time,Data Analyst,37456,GBP,51519,GB,Partially Remote,GB,L
601,2022,Entry,Full Time,Data Analyst,52000,USD,52000,CA,On-site,CA,M
314,2022,Mid,Full Time,Data Engineer,40000,GBP,52351,GB,On-site,GB,M
408,2022,Mid,Full Time,Data Analyst,40000,GBP,52351,GB,Fully Remote,GB,M
304,2022,Entry,Full Time,Data Engineer,40000,GBP,52351,GB,Fully Remote,GB,M
499,2022,Entry,Full Time,Data Scientist,66500,CAD,52396,CA,Fully Remote,CA,L
75,2021,Senior,Full Time,Data Scientist,45000,EUR,53192,FR,Partially Remote,FR,L
565,2022,Senior,Full Time,Data Engineer,54000,USD,54000,US,On-site,US,M
198,2021,Senior,Full Time,Data Science Manager,4000000,INR,54094,IN,Partially Remote,US,L
82,2021,Mid,Full Time,Applied Data Scientist,68000,CAD,54238,GB,Partially Remote,CA,L
53,2020,Entry,Full Time,Data Engineer,48000,EUR,54742,PK,Fully Remote,DE,L
462,2022,Mid,Part Time,Data Engineer,50000,EUR,54957,DE,Partially Remote,DE,L
374,2022,Mid,Full Time,ETL Developer,50000,EUR,54957,GR,On-site,GR,M
373,2022,Mid,Full Time,ETL Developer,50000,EUR,54957,GR,On-site,GR,M
277,2021,Senior,Full Time,AI Scientist,55000,USD,55000,ES,Fully Remote,ES,L
168,2021,Entry,Full Time,BI Data Analyst,55000,USD,55000,US,Partially Remote,US,S
19,2020,Mid,Full Time,Lead Data Engineer,56000,USD,56000,PT,Fully Remote,US,M
223,2021,Mid,Full Time,Data Scientist,40900,GBP,56256,GB,Partially Remote,GB,L
211,2021,Mid,Full Time,Research Scientist,48000,EUR,56738,FR,Partially Remote,FR,S
276,2021,Entry,Full Time,Data Scientist,58000,USD,58000,US,Partially Remote,US,L
406,2022,Mid,Full Time,Data Analyst,58000,USD,58000,US,On-site,US,S
367,2022,Mid,Full Time,Data Analyst,58000,USD,58000,US,On-site,US,S
496,2022,Entry,Full Time,Data Engineer,52800,EUR,58035,PK,Fully Remote,DE,M
460,2022,Mid,Full Time,Machine Learning Infrastructure Engineer,53000,EUR,58255,PT,Partially Remote,PT,L
415,2022,Mid,Full Time,Data Engineer,45000,GBP,58894,GB,Fully Remote,GB,M
279,2021,Entry,Full Time,Business Data Analyst,50000,EUR,59102,LU,Fully Remote,LU,L
86,2021,Entry,Full Time,Data Analyst,50000,EUR,59102,FR,Partially Remote,FR,M
30,2020,Mid,Full Time,Data Engineering Manager,51999,EUR,59303,DE,Fully Remote,DE,S
172,2021,Entry,Full Time,Data Analyst,60000,USD,60000,US,Fully Remote,US,S
417,2022,Senior,Full Time,Data Science Engineer,60000,USD,60000,AR,Fully Remote,MX,L
54,2020,Senior,Freelance,Computer Vision Engineer,60000,USD,60000,RU,Fully Remote,US,S
120,2021,Mid,Full Time,Big Data Engineer,60000,USD,60000,ES,Partially Remote,RO,M
589,2022,Senior,Full Time,Data Analyst,60000,USD,60000,US,Fully Remote,US,M
174,2021,Senior,Full Time,Research Scientist,51400,EUR,60757,PT,Partially Remote,PT,L
363,2022,Senior,Full Time,Data Analyst,61300,USD,61300,CA,Fully Remote,CA,M
361,2022,Senior,Full Time,Data Analyst,61300,USD,61300,CA,Fully Remote,CA,M
200,2021,Mid,Full Time,Data Scientist,52000,EUR,61467,DE,Partially Remote,AT,M
183,2021,Senior,Full Time,Finance Data Analyst,45000,GBP,61896,GB,Partially Remote,GB,L
103,2021,Mid,Full Time,Data Analyst,62000,USD,62000,US,On-site,US,L
146,2021,Mid,Full Time,Research Scientist,53000,EUR,62649,FR,Partially Remote,FR,M
500,2022,Senior,Full Time,Machine Learning Engineer,57000,EUR,62651,NL,Fully Remote,NL,L
65,2020,Entry,Full Time,Data Scientist,55000,EUR,62726,DE,Partially Remote,DE,S
70,2020,Mid,Full Time,Data Scientist,55000,EUR,62726,FR,Partially Remote,LU,S
136,2021,Mid,Full Time,ML Engineer,7000000,JPY,63711,JP,Partially Remote,JP,S
236,2021,Mid,Full Time,Research Scientist,80000,CAD,63810,CA,Fully Remote,CA,M
261,2021,Senior,Full Time,Data Analyst,54000,EUR,63831,DE,Partially Remote,DE,L
163,2021,Entry,Full Time,Data Science Consultant,54000,EUR,63831,DE,Partially Remote,DE,L
418,2022,Mid,Full Time,Data Engineer,63900,USD,63900,US,On-site,US,M
507,2022,Mid,Full Time,Research Scientist,59000,EUR,64849,AT,On-site,AT,L
481,2022,Senior,Full Time,Machine Learning Engineer,65000,USD,65000,AE,Fully Remote,AE,S
512,2022,Entry,Full Time,Data Engineer,65000,USD,65000,US,Fully Remote,US,S
269,2021,Entry,Full Time,Data Engineer,55000,EUR,65013,DE,Partially Remote,DE,M
311,2022,Mid,Full Time,Data Scientist,50000,GBP,65438,GB,On-site,GB,M
355,2022,Senior,Full Time,Data Engineer,50000,GBP,65438,GB,On-site,GB,M
567,2022,Mid,Full Time,Data Analyst,50000,GBP,65438,GB,On-site,GB,M
412,2022,Mid,Full Time,Data Engineer,60000,EUR,65949,GR,Fully Remote,GR,M
436,2022,Mid,Full Time,Data Engineer,60000,EUR,65949,ES,Fully Remote,ES,M
212,2021,Mid,Full Time,Data Engineer,48000,GBP,66022,HK,Partially Remote,GB,S
263,2021,Senior,Full Time,Machine Learning Engineer,4900000,INR,66265,IN,On-site,IN,L
600,2022,Entry,Full Time,Data Analyst,67000,USD,67000,CA,On-site,CA,M
517,2022,Mid,Full Time,Data Engineer,62000,EUR,68147,FR,Fully Remote,FR,M
32,2020,Senior,Full Time,Data Scientist,60000,EUR,68428,GR,Fully Remote,US,L
573,2022,Senior,Full Time,Data Analyst,69000,USD,69000,US,Fully Remote,US,M
520,2022,Mid,Full Time,Data Scientist,88000,CAD,69336,CA,Fully Remote,CA,M
187,2021,Executive,Full Time,Data Science Consultant,59000,EUR,69741,FR,Fully Remote,ES,S
282,2021,Mid,Part Time,Data Engineer,59000,EUR,69741,NL,Fully Remote,NL,L
284,2021,Mid,Full Time,Research Scientist,69999,USD,69999,CZ,Partially Remote,CZ,L
31,2020,Entry,Full Time,Big Data Engineer,70000,USD,70000,US,Fully Remote,US,L
98,2021,Entry,Full Time,Computer Vision Software Engineer,70000,USD,70000,US,Fully Remote,US,M
49,2020,Mid,Full Time,Data Engineer,61500,EUR,70139,FR,Partially Remote,FR,L
557,2022,Senior,Full Time,Data Engineer,70500,USD,70500,US,On-site,US,M
511,2022,Mid,Full Time,Business Data Analyst,90000,CAD,70912,CA,Partially Remote,CA,L
513,2022,Senior,Full Time,Machine Learning Engineer,65000,EUR,71444,IE,Fully Remote,IE,S
229,2021,Senior,Full Time,Data Analyst,90000,CAD,71786,CA,Fully Remote,CA,M
410,2022,Mid,Full Time,Data Scientist,55000,GBP,71982,GB,On-site,GB,M
5,2020,Entry,Full Time,Data Analyst,72000,USD,72000,US,Fully Remote,US,L
245,2021,Mid,Full Time,Data Engineer,52500,GBP,72212,GB,Partially Remote,GB,L
270,2021,Entry,Full Time,Data Engineer,72500,USD,72500,US,Fully Remote,US,L
104,2021,Mid,Full Time,Data Scientist,73000,USD,73000,US,On-site,US,L
189,2021,Mid,Full Time,Machine Learning Engineer,74000,USD,74000,JP,Partially Remote,JP,S
35,2020,Mid,Full Time,Data Engineer,65000,EUR,74130,AT,Partially Remote,AT,L
531,2022,Mid,Full Time,Data Analyst,75000,USD,75000,CA,On-site,CA,M
506,2022,Mid,Full Time,Applied Machine Learning Scientist,75000,USD,75000,BO,Fully Remote,US,L
100,2021,Mid,Full Time,Data Analyst,75000,USD,75000,US,On-site,US,L
491,2022,Mid,Full Time,Principal Data Analyst,75000,USD,75000,CA,Fully Remote,CA,S
152,2021,Mid,Full Time,Data Scientist,95000,CAD,75774,CA,Fully Remote,CA,L
91,2021,Entry,Full Time,Data Science Consultant,65000,EUR,76833,DE,Fully Remote,DE,S
272,2021,Entry,Full Time,Data Science Consultant,65000,EUR,76833,DE,On-site,DE,L
188,2021,Senior,Full Time,Data Engineer,65000,EUR,76833,RO,Partially Remote,GB,S
433,2022,Mid,Full Time,Data Engineer,70000,EUR,76940,ES,Fully Remote,ES,M
445,2022,Mid,Full Time,Data Engineer,70000,EUR,76940,GR,Fully Remote,GR,M
46,2020,Mid,Full Time,Data Scientist,60000,GBP,76958,GB,Fully Remote,GB,S
137,2021,Mid,Full Time,ML Engineer,8500000,JPY,77364,JP,Partially Remote,JP,S
274,2021,Senior,Full Time,Data Scientist,65720,EUR,77684,FR,Partially Remote,FR,M
526,2022,Mid,Full Time,Data Scientist,78000,USD,78000,US,Fully Remote,US,M
354,2022,Senior,Full Time,Data Engineer,60000,GBP,78526,GB,On-site,GB,M
313,2022,Mid,Full Time,Data Engineer,60000,GBP,78526,GB,On-site,GB,M
443,2022,Mid,Full Time,Data Engineer,60000,GBP,78526,GB,Fully Remote,GB,M
414,2022,Mid,Full Time,Data Engineer,60000,GBP,78526,GB,Fully Remote,GB,M
493,2022,Senior,Full Time,Machine Learning Developer,100000,CAD,78791,CA,Fully Remote,CA,M
451,2022,Mid,Full Time,Machine Learning Developer,100000,CAD,78791,CA,Fully Remote,CA,M
384,2022,Executive,Full Time,Head of Machine Learning,6000000,INR,79039,IN,Partially Remote,IN,L
80,2021,Senior,Full Time,Data Analytics Engineer,67000,EUR,79197,DE,Fully Remote,DE,L
0,2020,Mid,Full Time,Data Scientist,70000,EUR,79833,DE,On-site,DE,L
41,2020,Executive,Full Time,Data Engineering Manager,70000,EUR,79833,ES,Partially Remote,ES,L
139,2021,Entry,Full Time,Data Scientist,80000,USD,80000,US,Fully Remote,US,M
166,2021,Entry,Full Time,Data Engineer,80000,USD,80000,US,Fully Remote,US,L
450,2022,Senior,Full Time,Data Engineer,80000,USD,80000,US,Fully Remote,US,M
424,2022,Senior,Full Time,Data Scientist,80000,USD,80000,US,On-site,US,M
79,2021,Entry,Full Time,Data Analyst,80000,USD,80000,US,Fully Remote,US,M
568,2022,Senior,Full Time,Data Analyst,80000,USD,80000,US,Fully Remote,US,M
241,2021,Mid,Full Time,Data Analyst,80000,USD,80000,US,Fully Remote,US,L
89,2021,Senior,Full Time,Data Analyst,80000,USD,80000,BG,Fully Remote,US,S
178,2021,Entry,Full Time,Machine Learning Engineer,81000,USD,81000,US,Partially Remote,US,S
403,2022,Senior,Full Time,Data Analyst,81666,USD,81666,US,On-site,US,M
541,2022,Senior,Full Time,Data Analyst,81666,USD,81666,US,Fully Remote,US,M
143,2021,Mid,Full Time,Data Scientist,82500,USD,82500,US,Fully Remote,US,S
171,2021,Mid,Full Time,Data Engineer,60000,GBP,82528,GB,Fully Remote,GB,L
72,2021,Entry,Full Time,Research Scientist,60000,GBP,82528,GB,Partially Remote,GB,L
145,2021,Senior,Full Time,Machine Learning Engineer,70000,EUR,82744,BE,Partially Remote,BE,M
425,2022,Mid,Full Time,Data Engineer,82900,USD,82900,US,On-site,US,M
297,2022,Senior,Full Time,Data Analyst,84900,USD,84900,US,Fully Remote,US,M
273,2021,Entry,Full Time,Machine Learning Engineer,85000,USD,85000,NL,Fully Remote,DE,S
530,2022,Mid,Full Time,Data Analyst,85000,USD,85000,CA,On-site,CA,M
14,2020,Mid,Full Time,Data Analyst,85000,USD,85000,US,Fully Remote,US,L
161,2021,Executive,Full Time,Head of Data Science,85000,USD,85000,RU,On-site,RU,M
505,2022,Entry,Full Time,Data Scientist,120000,AUD,86703,AU,Partially Remote,AU,M
13,2020,Mid,Full Time,Lead Data Analyst,87000,USD,87000,US,Fully Remote,US,L
503,2022,Mid,Full Time,Machine Learning Engineer,121000,AUD,87425,AU,Fully Remote,AU,L
226,2021,Senior,Full Time,Data Scientist,110000,CAD,87738,CA,Fully Remote,CA,S
457,2022,Senior,Full Time,Lead Machine Learning Engineer,80000,EUR,87932,DE,On-site,DE,M
432,2022,Mid,Full Time,Data Engineer,80000,EUR,87932,ES,Fully Remote,ES,M
396,2022,Mid,Full Time,Machine Learning Engineer,80000,EUR,87932,FR,Fully Remote,DE,M
437,2022,Mid,Full Time,Data Engineer,80000,EUR,87932,GR,Fully Remote,GR,M
218,2021,Mid,Full Time,Machine Learning Engineer,75000,EUR,88654,BE,Fully Remote,BE,M
227,2021,Mid,Full Time,Data Scientist,75000,EUR,88654,DE,Partially Remote,DE,L
90,2021,Senior,Full Time,Marketing Data Analyst,75000,EUR,88654,GR,Fully Remote,DK,L
95,2021,Mid,Full Time,Cloud Data Engineer,120000,SGD,89294,SG,Partially Remote,SG,L
251,2021,Entry,Full Time,Data Scientist,90000,USD,90000,US,Fully Remote,US,S
293,2022,Mid,Full Time,Data Scientist,90000,USD,90000,US,On-site,US,M
147,2021,Mid,Full Time,Data Engineer,90000,USD,90000,US,Fully Remote,US,L
135,2021,Mid,Full Time,Data Analyst,90000,USD,90000,US,Fully Remote,US,M
118,2021,Entry,Full Time,Data Analyst,90000,USD,90000,US,Fully Remote,US,S
199,2021,Entry,Full Time,Data Science Consultant,90000,USD,90000,US,Fully Remote,US,S
333,2022,Senior,Full Time,Data Analyst,90320,USD,90320,US,Fully Remote,US,M
393,2022,Senior,Full Time,Data Analyst,90320,USD,90320,US,Fully Remote,US,M
318,2022,Senior,Full Time,Data Analyst,90320,USD,90320,US,Fully Remote,US,M
529,2022,Senior,Full Time,Data Analyst,90320,USD,90320,US,Fully Remote,US,M
331,2022,Senior,Full Time,Data Analyst,90320,USD,90320,US,Fully Remote,US,M
359,2022,Senior,Full Time,Data Architect,90700,USD,90700,CA,Fully Remote,CA,M
181,2021,Mid,Full Time,Data Scientist,76760,EUR,90734,DE,Partially Remote,DE,L
217,2021,Mid,Full Time,Data Scientist,76760,EUR,90734,DE,Partially Remote,DE,L
51,2020,Entry,Full Time,Data Analyst,91000,USD,91000,US,Fully Remote,US,L
69,2020,Senior,Full Time,Data Scientist,80000,EUR,91237,AT,On-site,AT,S
435,2022,Mid,Full Time,Data Engineer,70000,GBP,91614,GB,Fully Remote,GB,M
475,2022,Mid,Full Time,Data Scientist,70000,GBP,91614,GB,On-site,GB,M
254,2021,Mid,Full Time,Data Analyst,93000,USD,93000,US,Fully Remote,US,L
266,2021,Mid,Full Time,Data Engineer,93150,USD,93150,US,On-site,US,M
498,2022,Senior,Full Time,Research Scientist,85000,EUR,93427,FR,Partially Remote,FR,L
383,2022,Senior,Full Time,Data Analyst,93700,USD,93700,US,Fully Remote,US,M
341,2022,Senior,Full Time,Data Engineer,93700,USD,93700,US,Fully Remote,US,M
110,2021,Senior,Full Time,Machine Learning Engineer,80000,EUR,94564,DE,Partially Remote,DE,L
285,2021,Senior,Full Time,Data Science Manager,7000000,INR,94665,IN,Partially Remote,IN,L
347,2022,Senior,Full Time,Data Scientist,95550,USD,95550,US,On-site,US,M
99,2021,Mid,Full Time,Computer Vision Software Engineer,81000,EUR,95746,DE,Fully Remote,US,S
194,2021,Senior,Full Time,Research Scientist,120500,CAD,96113,CA,Partially Remote,CA,L
248,2021,Senior,Full Time,Data Engineer,70000,GBP,96282,GB,Partially Remote,GB,L
23,2020,Mid,Full Time,BI Data Analyst,98000,USD,98000,US,On-site,US,M
390,2022,Mid,Full Time,Machine Learning Engineer,75000,GBP,98158,GB,On-site,GB,M
405,2022,Mid,Full Time,Data Engineer,75000,GBP,98158,GB,On-site,GB,M
442,2022,Mid,Full Time,Data Engineer,75000,GBP,98158,GB,Fully Remote,GB,M
588,2022,Senior,Full Time,Data Analyst,99000,USD,99000,US,On-site,US,M
305,2022,Senior,Full Time,Data Analyst,99000,USD,99000,US,On-site,US,M
548,2022,Senior,Full Time,Data Analyst,99050,USD,99050,US,Fully Remote,US,M
543,2022,Mid,Full Time,Data Engineer,99100,USD,99100,US,On-site,US,M
299,2022,Senior,Full Time,Data Scientist,99360,USD,99360,US,Fully Remote,US,M
255,2021,Senior,Full Time,Big Data Architect,125000,CAD,99703,CA,Partially Remote,CA,M
461,2022,Entry,Full Time,Financial Data Analyst,100000,USD,100000,US,Partially Remote,US,L
572,2022,Senior,Full Time,Data Analyst,100000,USD,100000,US,Fully Remote,US,M
488,2022,Mid,Freelance,Data Scientist,100000,USD,100000,CA,Fully Remote,US,M
28,2020,Entry,Contract,Business Data Analyst,100000,USD,100000,US,Fully Remote,US,L
281,2021,Entry,Full Time,Research Scientist,100000,USD,100000,JE,On-site,CN,L
468,2022,Senior,Full Time,Data Engineer,100000,USD,100000,US,Fully Remote,US,M
494,2022,Senior,Full Time,Data Scientist,100000,USD,100000,BR,Fully Remote,US,M
487,2022,Entry,Part Time,Data Scientist,100000,USD,100000,DZ,Partially Remote,DZ,M
275,2021,Entry,Full Time,Data Scientist,100000,USD,100000,US,Fully Remote,US,M
578,2022,Senior,Full Time,Data Engineer,100000,USD,100000,US,Fully Remote,US,M
144,2021,Mid,Full Time,Data Engineer,100000,USD,100000,US,Fully Remote,US,L
76,2021,Mid,Full Time,BI Data Analyst,100000,USD,100000,US,Fully Remote,US,M
134,2021,Entry,Full Time,Data Scientist,100000,USD,100000,US,On-site,US,S
528,2022,Senior,Full Time,Data Analyst,100000,USD,100000,US,Fully Remote,US,M
130,2021,Entry,Full Time,Machine Learning Developer,100000,USD,100000,IQ,Partially Remote,IQ,S
426,2022,Senior,Full Time,Data Engineer,100800,USD,100800,US,Fully Remote,US,L
381,2022,Senior,Full Time,Data Engineer,101570,USD,101570,US,Fully Remote,US,M
539,2022,Mid,Full Time,Data Scientist,102100,USD,102100,US,On-site,US,M
296,2022,Senior,Full Time,Data Analyst,102100,USD,102100,US,Fully Remote,US,M
